start_station_name,start_lat,start_lng,count_start_rides
Griffin Museum of Science and Industry,41.79172821,-87.58394501,1704
Fort Dearborn Dr & 31st St*,41.83867633,-87.60883212,1703
Jefferson St & Monroe St,41.88032963,-87.64274597,1685
Sangamon St & Washington Blvd,41.883165,-87.6511,1681
Morgan St & Polk St,41.871737,-87.65103,1679
Halsted St & Maxwell St,41.864883,-87.647071,1678
Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536,1670
Wells St & Institute Pl,41.89737986,-87.63442039,1669
Broadway & Thorndale Ave,41.98974251,-87.66014062,1667
Damen Ave & Division St,41.903266,-87.678435,1664
Racine Ave & Wrightwood Ave,41.928887,-87.658971,1658
Woodlawn Ave & 58th St,41.789381,-87.596479,1657
Lincoln Ave & Melrose St,41.9406,-87.669435,1652
Michigan Ave & 18th St,41.857926,-87.624336,1646
Wentworth Ave & Cermak Rd*,41.85321442,-87.6318723,1643
Southport Ave & Irving Park Rd,41.954177,-87.664358,1636
Clinton St & Roosevelt Rd,41.86711778,-87.64108796,1633
Ogden Ave & Race Ave,41.891795,-87.658751,1626
Damen Ave & Chicago Ave,41.895769,-87.67722,1624
Broadway & Granville Ave,41.99477969,-87.66028453,1608
Eckhart Park,41.89637337,-87.66098386,1604
Orleans St & Hubbard St,41.890028,-87.636618,1599
Ashland Ave & Blackhawk St,41.907066,-87.667252,1579
Sheridan Rd & Argyle St,41.97328682,-87.65475959,1545
Lincoln Ave & Roscoe St*,41.94335025,-87.67066777,1516
Benson Ave & Church St,42.048214,-87.683485,1504
Larrabee St & Oak St,41.90021949,-87.64298547,1501
Clarendon Ave & Leland Ave,41.967968,-87.650001,1497
Canal St & Monroe St,41.88169,-87.63953,1489
Franklin St & Monroe St,41.880317,-87.635185,1485
Halsted St & Polk St,41.87184,-87.64664,1481
Clark St & 9th St (AMLI),41.870816,-87.631246,1480
Ashland Ave & Grace St,41.950687,-87.6687,1473
Fort Dearborn Dr & 31st St,41.838556,-87.608218,1451
Paulina Ave & North Ave,41.90985465,-87.66993016,1448
Greenview Ave & Diversey Pkwy,41.93258963,-87.66593635,1431
Western Ave & Division St,41.902893,-87.687275,1404
Ashland Ave & Lake St,41.88592,-87.66717,1393
Museum of Science and Industry,41.79172821,-87.58394501,1384
Damen Ave & Charleston St,41.920082,-87.677855,1382
LaSalle St & Washington St,41.882664,-87.63253,1382
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,1378
Canal St & Taylor St,41.870257,-87.639474,1370
Larrabee St & North Ave,41.91021,-87.6435,1369
Ellis Ave & 58th St,41.788746,-87.601334,1362
Sheridan Rd & Lawrence Ave,41.969517,-87.654691,1359
Ada St & Washington Blvd,41.88283,-87.661206,1355
Humboldt Blvd & Armitage Ave,41.91751339,-87.70180896,1353
LaSalle St & Adams St,41.87934437,-87.63198522,1352
Clark St & Bryn Mawr Ave,41.983593,-87.669154,1348
Winthrop Ave & Lawrence Ave,41.968812,-87.657659,1347
Fairbanks St & Superior St,41.895748,-87.620104,1321
Ellis Ave & 53rd St,41.79933626,-87.60095811,1320
Western Ave & Walton St,41.89841769,-87.68659602,1296
Sheridan Rd & Loyola Ave,42.00104378,-87.66119824,1285
Wabash Ave & Cermak Rd,41.852619,-87.626488,1283
Campbell Ave & North Ave,41.910535,-87.689556,1248
Leavitt St & Armitage Ave,41.917805,-87.682437,1229
Leavitt St & Belmont Ave,41.939354,-87.683282,1220
Orleans St & Elm St,41.902924,-87.637715,1220
Albany Ave & Bloomingdale Ave,41.91402671,-87.70512646,1217
Morgan St & 18th St,41.858086,-87.651073,1182
Wacker Dr & Washington St,41.88314336,-87.63724208,1179
Sedgwick St & Schiller St,41.907626,-87.638566,1177
Halsted St & Roosevelt Rd,41.867324,-87.648625,1175
Clinton St & Tilden St,41.875885,-87.640795,1167
Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,1158
Ashland Ave & Chicago Ave,41.89595436,-87.66772807,1153
Wood St & Chicago Ave,41.895634,-87.672069,1149
California Ave & Cortez St,41.900363,-87.696704,1148
Spaulding Ave & Armitage Ave,41.91710803,-87.71022096,1145
University Ave & 59th St,41.787878,-87.598906,1135
Noble St & Milwaukee Ave,41.9007,-87.662607,1129
Loomis St & Jackson Blvd,41.877945,-87.662007,1122
Wilton Ave & Diversey Pkwy*,41.932418,-87.652705,1109
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,1107
Wood St & Augusta Blvd,41.899181,-87.6722,1101
California Ave & Francis Pl,41.91849115,-87.6974228,1099
Ashland Ave & Wellington Ave,41.936083,-87.669807,1097
Kimbark Ave & 53rd St,41.7994549,-87.5947779,1096
Broadway & Berwyn Ave,41.978361,-87.659789,1094
Western Ave & Leland Ave,41.9663998,-87.68870428,1085
Seeley Ave & Roscoe St,41.943403,-87.679618,1070
Broadway & Argyle St,41.973815,-87.65966,1067
Clybourn Ave & Division St,41.904613,-87.640552,1060
Leavitt St & Chicago Ave,41.895501,-87.682017,1059
Damen Ave & Grand Ave,41.89239445,-87.67688513,1054
Broadway & Ridge Ave,41.98404461,-87.66027383,1051
Kedzie Ave & Palmer Ct,41.921525,-87.707322,1029
MLK Jr Dr & 29th St,41.842052,-87.617,1029
Wells St & 19th St,41.856802,-87.633879,1028
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,1021
Southport Ave & Clark St,41.957081,-87.664199,1015
Throop St & Taylor St,41.868968,-87.659141,1013
