start_station_name,start_lat,start_lng,count_start_rides
Ashland Ave & Augusta Blvd,41.899643,-87.6677,3396
Hermitage Ave & Polk St,41.871514,-87.669886,3374
Sangamon St & Washington Blvd,41.883165,-87.6511,3372
Clinton St & Tilden St,41.875885,-87.640795,3331
Sheridan Rd & Lawrence Ave,41.969517,-87.654691,3308
Broadway & Argyle St,41.973815,-87.65966,3295
Emerald Ave & 31st St,41.838198,-87.645143,3287
Ashland Ave & Wellington Ave,41.936083,-87.669807,3236
Larrabee St & North Ave,41.91021,-87.6435,3217
Clark St & Bryn Mawr Ave,41.983593,-87.669154,3202
Indiana Ave & 31st St,41.838842,-87.621857,3173
Clark St & Montrose Ave,41.961588,-87.666036,3161
Larrabee St & Menomonee St,41.91468,-87.64332,3155
Green St & Washington Blvd,41.88318131,-87.64872462,3150
Ashland Ave & Grace St,41.950687,-87.6687,3083
Sheridan Rd & Argyle St,41.97328682,-87.65475959,3055
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,3054
Broadway & Granville Ave,41.99477969,-87.66028453,3036
Greenview Ave & Diversey Pkwy,41.93258963,-87.66593635,3012
Clinton St & Roosevelt Rd,41.86711778,-87.64108796,3007
Ashland Ave & Blackhawk St,41.907066,-87.667252,3004
Canal St & Taylor St,41.870257,-87.639474,2990
Ashland Ave & Chicago Ave,41.89595436,-87.66772807,2973
Western Ave & Leland Ave,41.9663998,-87.68870428,2955
Paulina St & Montrose Ave,41.961507,-87.671387,2953
Paulina Ave & North Ave,41.90985465,-87.66993016,2952
Michigan Ave & Jackson Blvd,41.878005,-87.624144,2951
Walsh Park,41.91461,-87.667968,2941
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,2883
Broadway & Thorndale Ave,41.98974251,-87.66014062,2869
Wood St & Augusta Blvd,41.899181,-87.6722,2853
Winthrop Ave & Lawrence Ave,41.968812,-87.657659,2839
Racine Ave & Washington Blvd,41.883073,-87.656952,2812
Shields Ave & 31st St,41.838464,-87.635406,2789
Orleans St & Elm St,41.902924,-87.637715,2788
Canal St & Jackson Blvd,41.877245,-87.639366,2780
Lakefront Trail & Wilson Ave,41.965845,-87.645361,2767
Delano Ct & Roosevelt Rd,41.867491,-87.63219,2761
Broadway & Berwyn Ave,41.978361,-87.659789,2737
Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,2737
Drexel Ave & 60th St,41.785861,-87.604553,2733
Marine Dr & Ainslie St,41.9716,-87.650154,2726
Western Ave & Walton St,41.89841769,-87.68659602,2680
Fort Dearborn Dr & 31st St*,41.83867633,-87.60883212,2670
Sheridan Rd & Noyes St (NU),42.058239,-87.677432,2663
Clarendon Ave & Leland Ave,41.967968,-87.650001,2649
Broadway & Ridge Ave,41.98404461,-87.66027383,2622
Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,2564
Leavitt St & Armitage Ave,41.917805,-87.682437,2558
Noble St & Milwaukee Ave,41.9007,-87.662607,2547
Campbell Ave & North Ave,41.910535,-87.689556,2537
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,2492
Dearborn St & Van Buren St,41.876268,-87.629155,2487
